"Genres","Title","Year","Votes","Rating"
"Drama,Fantasy,Horror","Episode #1.459",1968,22,8.5
"Drama","El pecado de Julia",1946,5,6.6
"Biography,Drama,Short","A Wonderful Life",1950,19,7.4
"Adventure,Animation,Drama","Król Kalifornijski",1977,11,5.5
"Biography,Documentary,Sport","Jesse Owens Returns to Berlin",1966,10,8.2
"Crime,Drama,Mystery","The Case of the Unsuitable Uncle",1962,117,8.3
"Comedy,Crime,Mystery","Charlie Chan at the Circus",1936,1434,7.0
"Comedy,Fantasy,Short","Uncle Josh in a Spooky Hotel",1900,207,5.0
"History","The Lame Devil",1948,198,7.1
"Comedy","Julie's Rejection",1981,17,6.9
"Horror,Mystery,Thriller","The Ripper",1974,440,8.1
"Drama,Short","Us",2005,14,7.6
"Drama","El gran Serafín",1987,12,3.8
"Animation,Comedy,Family","Scooby Doo Meets Laurel and Hardy",1972,100,8.3
"Comedy","Charity Begins at Home",1971,17,5.6
"Action,Western","Silver Range",1946,10,6.1
"Animation,Short","Support Your Local Serpent",1972,17,5.5
"Comedy,Drama","Historias Breves 3",1999,12,5.3
"Drama","Porozhniy reys",1963,41,7.7
"Crime,Drama,Romance","Within the Law",1939,177,6.6
"Comedy,Family","Tuba Incident",1953,14,7.3
"Drama","Abraham Lincoln",1952,13,6.9
"Action,Crime,Drama","Silk Hat Kid",1935,15,7.1
"Documentary","America in the '40s",1998,23,8.7
"Adventure","I Wouldn't Start from Here",1963,35,8.6
"Drama","The Blue Sextet",1971,36,5.6
"Comedy,Music","True to the Army",1942,25,7.2
"Comedy","The Flagpole",1964,25,8.8
"Drama,Music","Autumn Sonata",1978,22077,8.3
"Horror,Sci-Fi","The Hideous Sun Demon",1958,1055,4.3
"Action,Sci-Fi","E.S.P.",1970,88,7.2
"Drama","Hannah",1950,11,8.5
"Drama,History","A Question of Guilt",1978,10,7.5
"Comedy,Family,Fantasy","Soapbox Derby",1966,187,7.7
"Action,Drama,Romance","Near the Trail's End",1931,18,6.6
"Adventure,Drama","Coral Reefs",1939,115,6.0
"Comedy,Drama","Flying Blind",1941,88,4.6
"Comedy,Short","The Courtship of the Newt",1938,67,6.0
"Comedy,Drama,Romance","We Only Live Once",1958,1349,8.3
"Western","The Border Patrol",1928,8,6.4
"Drama","Journeys from Berlin/1971",1980,25,6.5
"Film-Noir,Thriller","Sudden Fear",1952,4581,7.5
"Action,Adventure,Drama","The Man Hunter",1919,11,6.6
"Comedy,Crime,Drama","Dernière heure, édition spéciale",1949,17,5.9
"Comedy,Drama,Romance","The April Fools",1969,1076,6.2
"Western","Cowards Die Many Times",1966,15,8.1
"Drama,History","Svedek umírajícího casu",1983,38,7.1
"Documentary","Project: Man in Space",1963,5,7.6
"Crime,Drama,Mystery","Love Me in December",1973,14,5.5
"Comedy,Romance","Hay Foot",1942,98,6.1
"Comedy","Sister Citroen",1967,244,5.0
"Western","Vendetta",1959,77,7.7
"Adventure","The Three Musketeers",1954,8,6.0
"Animation,Comedy,Family","Tom-ic Energy",1965,310,6.3
"Drama","The Count of Saint Elmo",1953,11,5.2
"Adventure,Sci-Fi","Fear of High Places",1968,18,7.9
"Biography,Drama,History","Gallant Journey",1946,199,6.5
"Comedy,Short","Goofy Movies Number Two",1934,77,5.8
"Crime,Drama,Mystery","The Case of the Hateful Hero",1962,124,8.5
"Sci-Fi","Destroyers of the Sun",1955,5,6.8
"Western","John Clum, Fighting Editor",1960,18,7.6
"Comedy","The Inspector General",1933,98,6.8
"Comedy,Drama","92 in the Shade",1975,356,6.3
"Musical","Sunny",1930,111,5.3
"Adventure,Drama,Western","My Son, the Hero",1961,184,8.1
"Comedy,Family","Hus forbi",1977,6,6.3
"Action,Adventure,Animation","Big Meowth, Little Dreams/Piece'a Pizza Peace Pizzazz",2003,10,7.1
"Drama,Fantasy,Horror","Rare Objects",1972,154,7.3
"Adventure,Animation,Comedy","Winter in Prostokvashino",1984,2047,8.4
"Comedy,Short","You're Telling Me",1932,26,6.0
"Comedy","Blondie Has Servant Trouble",1940,234,7.0
"Drama,Family","Padre nuestro",1953,7,6.3
"Crime,Horror,Mystery","The Strangler of Blackmoor Castle",1963,301,5.7
"Short","Anthony's Broken Mirror",1957,55,7.0
"Crime,Drama,Mystery","The Case of the Purple Woman",1958,171,8.3
"Animation,Short","Davey Cricket",1965,8,5.5
"Thriller","Sha ji",1970,24,6.8
"Animation,Comedy,Family","Straight Shooters",1947,282,7.1
"Drama","For the Love of Mike",1932,20,6.2
"Crime,Drama,Mystery","Three Dead Cows at Makapuu: Part II",1970,81,7.2
"Documentary,Music","Concerto per Michelangelo",1977,11,6.9
"Documentary,Short","Van Gogh",1948,330,6.8
"Animation,Comedy,Family","One More Time",1931,210,5.7
"Comedy,Fantasy","The Brass Bottle",1964,608,6.4
"Romance","The Love Race",1962,28,5.7
"Action,Adventure,Crime","King of the Rocket Men",1949,815,6.8
"Action,Adventure,Western","El Diablo Rides",1939,18,2.9
"Animation","Mátyás, az igazságos",1982,57,7.6
"Drama","Hunger",1966,2592,7.9
"Biography,Drama,Music","I Dream of Jeanie",1952,154,6.1
"Comedy,Western","The Sheriff of Duck 'n' Shoot",1959,56,8.4
"Drama","A Modern Monte Cristo",1917,8,4.5
"Comedy,Short","Jitters the Butler",1932,9,6.2
"Action,Adventure,Comedy","The Girls from KAOS",1967,112,7.9
"Western","Carlos",1971,23,6.7
"Crime,Drama","Episode #1.601",1986,8,7.9
"Drama,Sport","Aunt Mary",1979,64,7.5
"Adventure,Animation,Sci-Fi","Gathering of the Team",1968,9,5.7
"Comedy,Drama,Family","Marva in the Key of Cee",1987,5,7.6
"Comedy","Hej du glada sommar!!!",1965,20,4.5
"Animation,Comedy,Family","King of the Mardi Gras",1935,178,7.2
"Comedy","The Time of His Life",1955,51,5.9
"Drama,Romance,Short","The Love Charm",1928,52,5.8
"Comedy,Crime,Drama","Pardon Us",1931,2017,7.0
"Animation","Tajemnica szyfru Marabuta",1980,16,6.6
"Drama","Street Acquaintances",1948,23,7.3
"Adventure,Comedy,Drama","Eagleman/Children of Mentu",1980,26,7.3
"Animation,Family,Fantasy","La tonte des moutons",1974,8,6.4
"Drama","Millionaire Karen Summers",1960,7,8.3
"Comedy,Crime,Drama","Safety in Numbers",1938,7,6.6
"Comedy,Crime,Family","Supergran and the Magic Ray",1985,8,8.4
"Drama,War","W cieniu nienawisci",1986,7,5.0
"Comedy","Who's Got the Trenchcoat?",1972,7,7.9
"Drama,Family,Romance","Love/Loss",2010,9,6.7
"Drama,Family","Singaar",1949,9,6.8
"Biography,Documentary,History","20th Century with Mike Wallace",1994,24,7.5
"Animation","Film 2",1982,21,7.3
"Drama","Gradiliste",1979,9,5.9
"Comedy","Sumnjivo lice",1954,62,7.6
"Comedy,Crime,Drama","Never Again",1956,449,7.4
"Animation,Short","Dr. Seuss: I Am Not Going to Get Up Today!",1991,11,6.5
"Crime,Drama,Mystery","The Case of the Potted Planter",1963,110,8.3
"Comedy","George's Alibi",1975,41,7.3
"Comedy","Tiszteletem, föorvos úr",1980,7,5.0
"Drama","The Queen's Guards",1961,91,6.6
"Documentary","Beautiful Dreamer: Brian Wilson and the Story of 'Smile'",2004,291,7.9
"Comedy","Love Me, Love My Tree",1972,17,6.0
"Documentary","The Life of Anton Bruckner",1979,6,8.5
"Documentary,Short","The Poet's Eye",1964,5,7.0
"Comedy","Stize Japanac",1984,6,9.3
"Adventure,Animation,Drama","Shokumei seijo: Zenpen",1980,10,1.9
"Comedy,Crime","Love Is Colder Than Death",1969,2541,6.7
"Comedy,Short","The Chink",1921,11,7.5
"Drama","Frustrations",1965,5,5.0
"Drama","Qahwet al mawardy",1982,26,4.8
"Action,Comedy,Crime","Squadra antigangsters",1979,184,5.6
"Animation,Family,Fantasy","Snow White and the Seven Dwarfs",1937,169459,7.6
"Drama,Short","The Fur Store",2003,5,7.8
"Comedy,Musical,Sport","Happy Landing",1938,97,6.8
"Drama,Fantasy,Horror","Episode #1.501",1968,17,7.6
"Crime,Thriller","Der Tod in der Maske",1972,10,5.9
"Comedy,Short","Kri Kri martire della suocera",1915,7,4.0
"Drama","Diary of a Madman",1987,8,4.4
"Comedy","Everybody's Baby",1939,10,6.3
"Drama,Western","The Ox-Bow Incident",1942,19535,8.0
"Western","Navajo Joe",1966,3268,6.4
"Comedy,Drama,Musical","Jab Pyar Kisise Hota Hai",1961,106,6.8
"Comedy","En lille tilfældighed",1939,12,5.8
"Drama,Fantasy","Garbage Man/Doctor's Wife",1979,7,7.7
"Action,Adventure,Crime","Not So Jolly Roger",1966,66,8.4
"Thriller","Sadist",1966,37,5.1
"Drama","A Circle of Children",1977,86,7.8
"Animation,Comedy,Family","Wood-Peckin'",1943,59,6.3
"Drama,War","Desert Commandos",1967,295,5.1
"Comedy,Drama","You Are My Adventure",1958,21,4.8
"Adventure,Comedy,Western","Hidden Gold",1940,136,6.8
"Drama,Romance","Asphalt",1929,1289,7.4
"Comedy","George and Whitty",1978,38,8.1
"Crime,Drama","The Money Fight",1959,7,8.1
"Comedy,Family","The Oval Office",1985,6,8.0
"Adventure","Perils of the Yukon",1922,9,4.2
"Comedy,Drama","Semana santa en Acapulco",1981,40,6.3
"Adventure,Animation,Sci-Fi","Rekkâ no inbô",1979,20,7.5
"Crime,Drama","Alarm at the Circus",1954,15,7.5
"Adventure,Comedy,Drama","Illusion Travels by Streetcar",1954,1218,7.1
"Drama","Stop at Nothing",1924,7,3.6
"Crime,Drama","Kutsumata külalised",1959,21,6.0
"Adventure","White Slave Ship",1961,39,5.3
"Action,Adventure,Crime","Jet Ace",1953,77,7.9
"Crime,Documentary","Sibling Rivalry",2001,44,7.0
"Drama","Down with Willy Hatch",1967,7,8.4
"Drama","Al Hob Wahdo La Yakfi",1980,10,5.1
"Comedy","Image Scrimmage",1965,26,6.4
"Horror,Mystery,Thriller","Don't Torture a Duckling",1972,7245,7.1
"Western","Peril from the Past",1952,11,6.9
"Comedy","Un día es un día",1968,8,6.5
"Crime,Drama,Thriller","The Concrete Jungle",1960,1117,6.9
"Drama","Monsieur Abel",1983,6,7.5
"Drama,Film-Noir,Mystery","Black Widow",1954,2054,6.7
"Action,Adventure,Animation","Struggle at the South Pole",1964,17,6.4
"Comedy","The French Student",1976,7,6.7
"Documentary,Short","Through the Colorado Rockies",1943,54,6.6
"Comedy,Family,Short","Washee Ironee",1934,143,7.2
"Comedy,Short","Max Wants a Divorce",1917,83,6.3
"Comedy","Une mère comme on n'en fait plus",1997,6,8.3
"Western","A Good Man",1959,18,7.4
"Mystery","Der rote Kreis",1929,6,7.2
"Comedy","Service de Luxe",1938,135,6.5
"Comedy,Short","Shine 'em Up!",1922,38,5.9
"Western","Son of Thunder",1969,16,8.5
"Animation,Comedy,Family","Elroy's Mob",1963,62,6.8
"Crime,Drama,Horror","The Illustrious Client",1965,29,7.4
"Comedy","Bambú",1945,30,6.0
"Comedy,Family,Romance","The Freshman",1925,4680,7.5
"Action,Adventure,Animation","The Origin of Captain America/Wreckers Among Us/Enter Red Skull",1966,43,6.5
"Western","Around the Horn",1958,43,8.3
"Drama,Musical","Melody of a Great City",1943,24,6.5
"Western","The Hurricane Horseman",1931,23,4.7
"Comedy,Romance,Western","Villi Pohjola",1955,108,5.1
"Crime,Drama,Mystery","The Case of the Demure Defendant",1958,200,8.0
"Animation,Comedy,Family","Huck Hound's Tale/Party Peeper Jinks/Robot Plot",1960,17,7.4
"Comedy","Be My Wife",1921,337,7.0
"Drama,Sci-Fi","Bullet Proof",1956,17,7.4
"Documentary,War","The Fall of Berlin",1945,94,6.9
"Comedy,Family,Fantasy","The Trial and Error of Aunt Clara",1967,184,9.0
"Crime,Drama,Mystery","The Whole Truth",1958,312,6.3
"Drama,Mystery,Thriller","Echo of a Distant Scream",1972,23,6.7
"Action,War","Haslo",1968,16,8.4
"Comedy","Operation: Whodunit",1963,6,6.8
"Comedy,Romance","A New Kind of Love",1963,1137,5.9
"Action,Adventure,Romance","The Adventures of Robin Hood",1938,44805,7.9
"Action,Crime,Drama","Kidnap",1959,40,7.7
"Drama","La culpa de los hombres",1955,8,5.8
"Comedy","Happy Birthday, Stephanie",1981,19,7.2
"Western","Hollywood Round-Up",1937,88,6.0
"Action,Crime,Drama","Das Geheimnis der chinesischen Nelke",1964,72,6.2
"Drama,Fantasy,Horror","Episode #1.338",1967,29,7.3
"Comedy,Family,Short","Fish Hooky",1933,157,7.9
"Comedy","Julieta engaña a Romeo",1965,6,5.3
"Comedy","Don José, Pepe y Pepito",1961,14,4.1
"Animation,Comedy,Short","Man's Pest Friend",1945,9,4.9
"Crime,Documentary","A Novel Idea",2006,51,7.4
"Drama,Mystery,Thriller","Spy in the Sky!",1958,30,4.7
"Animation,Comedy,Family","Hold That Pose",1950,390,7.1
"Adventure","Put korablya",1935,8,5.2
"Drama","A Matter of Choice",1963,55,6.5
"Action,Drama","Hollywood Mystery",1934,40,4.9
"Comedy,Short","A Suffragette in Spite of Himself",1912,65,5.7
"Drama,War","The Unbeliever",1918,100,5.9
"Documentary,History","The Gold Spinners",2013,110,7.0
"Comedy,Short","Wedlock Deadlock",1947,23,6.6
"Drama","Arme Eva",1916,7,6.6
"Action,Adventure,Romance","The Fighting Parson",1933,36,6.1
"Drama,Short","The Mills of the Gods",1912,6,4.5
"Adventure,Animation,Family","Nobita no uchû shô-sensô",1985,163,6.8
"Comedy","The Bigamist",1956,140,6.9
"Comedy","Heat Wave",1962,28,8.8
"Documentary","F.A.Q. - Film o Koroski/Ein Film über Kärnten",2005,28,8.9
"Comedy,Crime,Musical","Dos locos en escena",1960,12,5.9
"Western","Shadow of a Man",1959,19,8.8
"Crime,Drama","Boston Blackie",1951,106,7.8
"Adventure,Western","The Traitor",1969,13,7.8
"Adventure,Drama","The Adventures of Dick Turpin",1929,9,5.0
"Animation,Comedy,Family","Mouse-Warming",1952,73,6.5
"Adventure","Let Us Prey",1973,9,8.2
"Animation,Family","Ferocious-Ness Loses His Roar",1984,5,6.6
"Drama,Short","Gold Is Not All",1910,12,5.4
"Drama,Fantasy,Mystery","The Stranger",1961,24,7.6
"Comedy","The Pop Star",1985,96,7.2
"Comedy","The Gigolo",1960,10,7.9
"Adventure,Documentary,Family","Paddle to the Sea",1966,420,7.8
"Animation,Comedy,Family","The Huckleberry Hound Show",1958,2848,6.6
"Comedy","An Innocent Affair",1948,214,6.3
"Crime,Drama,Mystery","The Case of the Dubious Bridegroom",1959,136,8.7
"Comedy,Musical","El irreal Madrid",1969,9,5.6
"Action,Drama,War","The Raid",1954,724,6.8
"Comedy","Dorothy Takes a Trip",1963,25,7.7
"Drama","Flash of Darkness",1955,12,9.1
"Drama","The Mystery of Carlo Cavelli",1934,15,6.1
"Comedy","Der falsche Feldmarschall",1930,15,6.8
"Animation,Short","Naksitrallid II",1987,34,7.0
"Western","El Paso",1949,242,5.8
"Comedy","Hunting",1952,7,6.9
"Comedy","Professor Nachtfalter",1951,11,6.6
"Animation,Comedy,Family","Magilla Mix-Up",1965,9,6.8
"Documentary,Short","Storm",1943,116,6.0
"Action,Adventure,Animation","The Wings of Mercury",1965,9,6.3
"Animation,Short","Broadway Bow Wow's",1954,22,6.6
"Animation,Comedy,Family","Robot Popeye",1961,23,7.2
"Horror,Short","Creep",2005,14,3.7
"Western","Three Men from Texas",1940,148,7.0
"Comedy,Short","Charley My Boy!",1926,86,6.5
"Comedy","Livat på luckan",1951,20,4.1
"Adventure,Drama,History","Cem Sultan",1951,12,6.1
"Animation,Short","Goony Golfers",1948,10,5.1
"Biography,Comedy,Drama","Headin' Home",1920,244,5.1
"Crime,Documentary,Mystery","Seeds of Destruction",1997,7,7.7
"Drama,Romance,Thriller","A Lion Is in the Streets",1953,538,6.2
"Crime","Fährten",1960,10,8.6
"Drama","School for Wives",1925,13,5.9
"Drama","The Bad Sister",1931,860,6.3
"Crime,Drama,Thriller","Landscape with Dead Figures",1961,32,8.6
"Comedy,Romance","Much Ado About Nothing",1937,6,5.0
"Action,Crime,Drama","The Cooker in the Sky",1962,23,6.9
"Drama,Romance","Four Mothers",1941,248,6.4
"Comedy","Cinq millions comptant",1957,14,5.8
"Adventure","Tasnerku ughekitsner",1962,13,2.8
"Drama","Gorod zazhigaet ogni",1958,28,7.4
"Animation,Family","Baby-Ness Gets the Measles",1984,5,6.2
"Drama","Ne 45000",1933,19,3.9
"Action,Adventure,Comedy","The Captain Regrets",1959,23,7.7
"Comedy,Musical,Romance","Rainbow Island",1944,40,7.5
"Comedy","L'ingenua",1975,72,5.2
"Drama,Romance","Stella Dallas",1937,4207,7.4
"Drama,History","Glorious Betsy",1928,29,6.4
"Crime,Drama","The Fatal Hours",1968,7,6.7
"Comedy","The Odyssey Couple",1973,33,7.2
"Drama,Mystery","I Escaped from the Gestapo",1943,39,4.9
"Sport","The DC Video",2003,102,8.0
"Crime,Drama,Mystery","One for the Book",1961,11,7.4
"Comedy,Short","The Property Man",1914,652,5.8
"Comedy,Drama,Mystery","The Hospital",1971,5067,7.2
"Crime,Drama,Film-Noir","Take One False Step",1949,251,6.7
"Action,Adventure,Drama","Wagons Westward",1940,40,6.9
"Drama,Sci-Fi","The Human Equation",1955,20,7.8
"Comedy","The Dress Designer",1978,13,7.4
"Adventure,Sci-Fi","Battle Beyond the Sun",1959,652,4.4
"Drama","Bodas de cristal",1975,5,8.4
"Animation,Comedy,Family","The Beach Party",1931,308,6.7
"Western","Crack-Up",1957,102,8.2
"Drama","The Hemingway Play",1976,24,9.2
"Animation,Short","The Foxy Pup",1937,7,6.0
"Drama","The Purple Taxi",1977,498,6.6
"Documentary,Short","Polish Vampire: Behind the Fangs",2001,11,5.5
"Drama","Invasion",1969,501,7.3
"Comedy,Crime,Drama","Beyond the Law",1968,103,4.6
"Comedy","Visit from a Big Star",1964,43,7.4
"Crime,Mystery,Thriller","The Adventures of Sherlock Holmes",1939,5850,7.4
"Adventure,Drama,Music","The Little Adventuress",1938,9,6.6
"Drama","Anillo de compromiso",1951,6,5.7
"Action,Adventure,Crime","The Lucky Cat",1955,70,8.0
"Comedy,Crime,Drama","Public Enemies",1941,21,7.3
"Horror,Sci-Fi","The Invisible Man",1933,27272,7.7
"Animation,Comedy,Family","Aloha Hooey",1942,88,6.3
"Comedy,Fantasy","Francis Joins the WACS",1954,292,6.8
"Drama,Romance","Leave Yesterday Behind",1978,127,7.7
"Crime,Mystery,Romance","Larceny in Her Heart",1946,26,6.2
"Drama","Premiya",1975,215,7.3
"Western","John Wesley Hardin",1955,31,8.3
"Crime,Drama,Film-Noir","Outrage",1950,902,6.7
"Short","Your Chance to Live: Technological Failures",1972,15,3.1
"Drama,Romance","Peter De Vilbis",1983,35,7.1
"Comedy","Keep It Up Downstairs",1976,100,4.2
"Comedy","Blaník",1998,158,8.6
"Drama,Fantasy,Horror","A World of His Own",1960,2021,8.2
"Comedy","Der Meisterdetektiv",1944,14,7.1
"Adventure,Crime,Drama","The Price of Redemption",1920,8,5.0
"Drama","God",1980,17,9.4
"Comedy,Mystery,Thriller","Horror Island",1941,534,6.0
"Comedy","Along Comes Mary",1975,27,8.5
"Action,Adventure,History","Lone Star",1952,826,6.2
"Drama","The Teacher and the Miracle",1957,51,6.7
"Comedy","How Jack Met Rochester",1962,8,6.5
"Comedy","Aci ile karisik",1969,130,6.8
"Comedy,Drama,Fantasy","The Iceman Cometh: Part 1",1960,13,8.5
"Comedy","The Marty Morgan Story",1976,17,8.0
"Action,Adventure,Crime","Radar Patrol vs. Spy King",1949,174,4.9
"Comedy,Musical","Paris Honeymoon",1939,68,6.1
"Comedy,War","The Honourable Man",1973,77,7.4
"Comedy","Mr. Clean",1983,29,8.1
"Drama,Music,Musical","Hab' ich nur deine Liebe",1953,10,6.1
"Drama","On These Shoulders",1948,21,5.5
"Comedy","The Odd Decathalon",1973,35,8.2
"Drama","Millions of Faces",1963,5,9.6
"Game-Show","La cible",2003,11,6.1
"Action,Adventure","All That Glisters...: Part 2",1971,9,7.0
"Action,Drama,Western","The Hatfields and the McCoys",1975,93,5.8
"Drama,Family,Fantasy","The Princeless Bride",2002,22,8.2
"Documentary,Short","Ebbtide",1962,5,6.6
"Documentary,History,War","Cambodia and Laos",1983,10,8.4
"Animation,Family","The Feast",1988,9,9.8
"Western","The Prince of Buffalo Gap",1957,21,8.1
"Documentary,Family,Short","Nature's Strangest Creatures",1959,32,7.7
"Action,Animation,Comedy","Dent pour dent",2001,10,6.6
"Western","Uprising",1959,5,7.2
"Drama,Romance","The Sunday Date",1960,25,5.1
"Short","Le Noël du poilu",1915,12,6.3
"Comedy","Meeting Hassie's Friends",1962,11,6.9
"Comedy,Family,Short","Yale vs. Harvard",1927,8,8.0
"Crime,Drama,Mystery","Conversation Over a Corpse",1987,36,7.1
"Comedy,Short","It's a Wild Life",1918,10,4.7
"Western","The Bull of the West",1972,266,5.3
"Drama,History","Maskarad",1941,73,7.0
"Drama,War","The Strength of the Fatherland",1917,15,5.6
"Adventure,Drama,Romance","Decameron Nights",1953,205,5.6
"Drama","The Isle of Lost Ships",1923,12,7.1
"Action","Perils of the Rail",1925,10,6.9
"Comedy,Short","Mest transformerov",2012,12,5.1
"Comedy","The Crazy Musician",1939,7,7.1
"Adventure,Animation,Comedy","The Hypnotist",1961,134,7.0
"Comedy","The Game Warden",1959,13,8.7
"Adult,Horror","The Geek",1971,138,2.8
"Drama,History,Western","Northwest Rangers",1942,91,5.7
"Comedy,Drama,Musical","The 3 Penny Opera",1931,1853,7.4
"Music,Romance,War","Harvest Melody",1943,22,4.8
"Drama,Romance","Zeyno",1970,138,6.3
"Adventure,Sci-Fi","Killer Ape",1953,229,6.4
"Comedy,Musical,Short","What, No Men?",1935,40,6.3
"Drama,Family,Romance","The Conscience",1979,41,8.0
"Comedy,Sci-Fi","Uninvited Guest",1964,9,6.4
"Drama,History","The Victoria Cross",1916,6,4.7
"Short","Was macht wer falsch?",1950,5,5.4
"Comedy,Short","Mickey's Mix-Up",1929,6,3.7
"Drama,War","Three Came Home",1950,1555,7.3
"Action,Adventure,Crime","Half Past Midnight",1948,21,5.7
"Drama,Musical","Miss Yasmine",1951,10,6.4
"Action,Adventure,Crime","Dark Streets",1929,14,5.2
"Comedy,Romance","Geliebtes Fräulein Doktor",1954,13,4.6
"Horror,Mystery,Thriller","Death of the Virgin",2009,130,3.2
"Musical","Anything Goes",1956,806,6.2
"Animation,Comedy,Family","Porky's Bear Facts",1941,139,5.9
"Drama","The Bear Tamer from the Flying Circus",1912,32,5.9
"Comedy,Short","Borrowed Blonde",1947,10,6.2
"Animation","Let Charlie Do It",1972,13,4.0
"Drama","The Unknown Singer",1931,16,6.4
"Comedy,Drama,Romance","The Girl from Manhattan",1948,65,5.9
"Comedy","Bus Drivers' Stomach",1969,50,7.9
"Adventure,Biography,Drama","The Adventures of Pollyanna",1982,23,7.7
"Comedy,Short","The Magic Pills",1910,11,4.7
"Action,Animation,Comedy","Whistler's Father, Part 3",1965,6,6.3
"Action,Adventure,Crime","Cannonball Express",1932,9,6.2
"Comedy,Drama,Music","Pennies from Heaven",1936,589,6.6
"Crime","Junko intai kinen eiga: Kantô hizakura ikka",1972,37,6.3
"Comedy,Romance,War","The More the Merrier",1943,5517,7.7
"Horror","Beast of the Yellow Night",1971,561,3.1
"Comedy","Álomkeringö",1943,7,5.4
"Animation,Comedy,Family","Yogi & the Invasion of the Space Bears",1988,109,6.6
"Action,Adventure,Crime","Black Paradise",1926,10,5.1
"Animation,Comedy,Family","Love at First Fight",1965,10,6.8
"Comedy","Up Pompeii!",1969,13,7.8
"Drama,Romance","A Night of Love",1952,7,6.3
"Drama","Paradoks",1965,10,9.1
"Drama","Znaki na drodze",1970,14,6.4
"Drama,Family,Romance","The Portrait",1978,48,6.4
"Comedy","Dawson's Weekly",1975,7,8.0
"Crime,Drama","The Violent Enemy",1967,61,6.7
"Adventure,Drama,History","Prince of Foxes",1949,1405,7.1
"Drama","Sister Island",1996,138,7.0
"Comedy","The Baby Cometh",1963,10,7.9
"Drama","Up the Ladder",1925,26,6.7
"Comedy,Short","Spanking Breezes",1926,12,6.0
"Western","Jesse James vs. the Daltons",1954,77,5.0
"Comedy","One Way Pendulum",1965,141,6.3
"Western","Navajo Kid",1945,57,6.3
"Comedy,Crime,Short","Hook a Crook",1955,20,6.0
"Comedy,Short,Sport","Over the Fence",1917,93,5.5
"Comedy","Double Trouble in the Nursery",1969,9,7.9
"Biography,Drama","Hitler: A Film from Germany",1977,671,7.5
"Adventure,Crime","Krallar ölmez",1967,19,6.6
"Adventure,Family,Fantasy","The Humpbacked Horse",1941,137,7.0
"Action,Animation,Comedy","Sens dessus dessous",2001,10,5.4
"Comedy,Romance","Politics",1931,187,6.3
"Adventure,Drama","This Woman Is Mine",1941,71,5.7
"Western","Johnny Concho",1956,180,5.8
"Comedy,Family","Women's Club Bazaar",1963,10,7.5
"Animation,Comedy","Episode #1.2",1960,44,8.0
"Drama","By the Steep Ravine",1962,40,6.8
"Adventure","Lady in the Iron Mask",1952,47,6.3
"Crime,Drama,Mystery","The Case of the Wary Wildcatter",1960,137,8.1
"Adventure,Comedy,Romance","Yaman gazeteci",1961,21,5.3
"Comedy","Egy bolond százat csinál",1942,256,6.9
"Comedy","Gyûnyû ya Furankî",1956,21,6.9
"Comedy,Short","She Who Gets Slapped",1930,6,6.0
"Western","Cowboy from Lonesome River",1944,11,6.1
"Comedy,Family,Sci-Fi","How You Gonna Keep 'Em Down on the Pharmacy?",1964,25,6.8
"Crime,Mystery,Thriller","Twenty Plus Two",1961,220,6.3
"Action,Music,Western","Stagecoach Buckaroo",1942,51,5.9
"Drama,Sci-Fi","Change of Mind",1969,51,6.1
"Comedy","Lucy and Joan Rivers Do Jury Duty",1973,18,7.9
"Comedy,Family","Let's Get Physical",1984,7,7.6
"Comedy,Music","Liebe, Jazz und Übermut",1957,61,5.7
"Drama","Profile",1954,56,5.2
"Animation,Comedy,Family","Box Car Bandit",1957,47,6.8
"Comedy,Crime,Drama","Anniversary Gift",1959,160,7.4
"Comedy","The Sacrifice",1962,40,7.0
"Drama,History","Caroline chérie",1968,57,4.8
"Animation,Comedy,Family","Little Bo Bopped",1959,15,4.9
"Drama","Gadyuka",1965,40,7.4
"Comedy,Short","Nuts in May",1917,23,6.7
"Comedy,Musical","...und das ist die Hauptsache!?",1931,9,6.6
"Western","Border Treasure",1950,62,6.2
"Drama","Sensualita",1952,14,5.7
"Comedy,Short","At the French Ball",1908,38,5.1
"Documentary","Mondo Cane 2",1963,718,6.0
"Drama","Las tres ratas",1946,14,7.6
"Animation,Comedy,Family","Whatcha Watchin'",1963,15,5.2
"Comedy,Romance","Nebe a dudy",1941,113,7.4
"Comedy","The Queens",1966,198,6.0
"Animation,Comedy,Family","Scooby Roo/Scooby's Gold Medal Gambit",1983,12,7.6
"Crime,Horror,Mystery","Der Hund von Baskerville",1929,74,6.9
"Music,Short","George Harrison: Got My Mind Set on You, Version 2",1987,22,7.2
"Comedy","The Robbery",1982,15,7.7
"Action,Comedy,Western","Gentlemen with Guns",1946,78,6.2
"Comedy,Musical","Brelok s sekretom",1981,9,4.2
"Comedy,Music,Romance","Das singende Hotel",1953,7,6.1
"Drama","Forbidden Love",1940,20,5.2
"Adventure,Animation,Comedy","The Flintstone Canaries",1963,82,7.6
"Comedy,Drama,Romance","Höst i paradiset",1995,171,5.9
"Comedy,Drama","The Great Impostor",1960,1053,7.1
"Comedy,Short","Charlie Butts In",1920,53,5.1
"Crime","Two Hours to Kill",1966,29,5.1
"Drama","Rogue's Harvest",1960,7,7.3
"Comedy","Buster se marie",1931,20,6.1
"Action,Comedy,Romance","Spy in Rome",1968,8,4.9
"Drama","The Louise Williams Story",1956,7,8.6
"Western","A Gun for Willie",1960,12,6.8
